,movieId,title,userId,rating
5319,185,Clueless (1995),201,3
5320,185,Clueless (1995),219,2
5321,185,Clueless (1995),227,3
5322,185,Clueless (1995),229,4
5323,185,Clueless (1995),232,3
5324,185,Clueless (1995),240,4
5325,185,Clueless (1995),242,3
5326,185,Clueless (1995),274,3
5327,185,Clueless (1995),284,1
5328,185,Clueless (1995),286,4
5329,185,Clueless (1995),297,1
5330,185,Clueless (1995),301,4
5331,185,Clueless (1995),304,4
5332,185,Clueless (1995),305,4
5333,185,Clueless (1995),307,2.5
5334,185,Clueless (1995),308,1
5335,185,Clueless (1995),314,2
5336,185,Clueless (1995),340,3
5337,185,Clueless (1995),347,3
5338,185,Clueless (1995),353,4
5339,185,Clueless (1995),354,3.5
5340,185,Clueless (1995),368,2
5341,185,Clueless (1995),369,3.5
5342,185,Clueless (1995),373,3
5343,185,Clueless (1995),374,3
5344,185,Clueless (1995),376,4
5345,185,Clueless (1995),379,4
5346,185,Clueless (1995),380,3
5347,185,Clueless (1995),381,3
5348,185,Clueless (1995),386,1
5349,185,Clueless (1995),394,3
5350,185,Clueless (1995),404,4
5351,185,Clueless (1995),411,4
5352,185,Clueless (1995),414,2
5353,185,Clueless (1995),429,5
5354,185,Clueless (1995),432,4.5
5355,185,Clueless (1995),438,2
5356,185,Clueless (1995),444,3
5357,185,Clueless (1995),448,2.5
5358,185,Clueless (1995),458,5
5359,185,Clueless (1995),468,3
5360,185,Clueless (1995),469,3
5361,185,Clueless (1995),470,3
5362,185,Clueless (1995),474,3
5363,185,Clueless (1995),476,3
5364,185,Clueless (1995),479,1
5365,185,Clueless (1995),480,1
5366,185,Clueless (1995),482,4
5367,185,Clueless (1995),485,5
5368,185,Clueless (1995),489,0.5
5369,185,Clueless (1995),498,3
5370,185,Clueless (1995),510,0.5
5371,185,Clueless (1995),512,3
5372,185,Clueless (1995),514,3
5373,185,Clueless (1995),524,3
5374,185,Clueless (1995),555,3
5375,185,Clueless (1995),559,3
5376,185,Clueless (1995),561,2
5377,185,Clueless (1995),569,4
5378,185,Clueless (1995),570,2.5
5379,185,Clueless (1995),573,3.5
5380,185,Clueless (1995),574,2
5381,185,Clueless (1995),584,5
5382,185,Clueless (1995),586,3.5
5383,185,Clueless (1995),588,1
