Date,Consumption,Wind,Solar,Wind+Solar
2015-01-01,1111.336,325.12799999999993,17.079,342.207
2015-01-02,1300.8839999999998,603.5580000000001,7.758,611.316
2015-01-03,1265.2709999999997,462.9529999999999,7.236000000000001,470.18899999999996
2015-01-04,1198.854,385.02400000000006,19.983999999999998,405.0080000000001
2015-01-05,1449.8609999999999,216.54300000000003,26.524,243.067
2015-01-06,1452.8909999999998,117.231,32.888,150.11900000000003
2015-01-07,1569.872,227.208,17.113,244.321
2015-01-08,1586.974,440.32000000000005,8.597,448.91700000000003
2015-01-09,1563.2930000000001,641.73,6.823,648.5530000000001
2015-01-10,1331.448,634.6750000000001,20.476999999999997,655.1519999999999
2015-01-11,1262.1610000000003,630.3790000000001,19.811000000000003,650.1900000000002
2015-01-12,1582.0660000000003,631.8330000000001,11.025000000000002,642.8580000000001
2015-01-13,1574.3019999999997,511.733,50.282000000000004,562.0150000000001
2015-01-14,1593.6819999999998,406.986,18.104999999999997,425.091
2015-01-15,1602.4040000000002,556.471,17.156,573.6270000000001
2015-01-16,1565.3199999999997,249.329,22.817,272.1460000000001
2015-01-17,1354.8010000000002,137.719,21.405000000000005,159.12400000000005
2015-01-18,1267.4890000000003,127.21700000000001,31.261,158.47800000000004
2015-01-19,1594.8690000000001,31.620999999999995,23.683,55.304
2015-01-20,1629.7300000000002,16.736999999999995,10.79,27.527
2015-01-21,1632.1459999999997,50.364999999999995,22.121000000000002,72.486
2015-01-22,1636.9779999999996,62.294,12.119,74.41300000000001
2015-01-23,1616.264,38.59,7.014999999999999,45.60499999999999
2015-01-24,1402.911,156.99800000000002,9.832999999999998,166.831
2015-01-25,1290.6550000000002,111.70699999999998,11.572000000000001,123.27899999999998
2015-01-26,1611.883,231.59400000000002,10.594,242.18800000000002
2015-01-27,1620.5649999999996,268.63100000000003,17.574,286.20500000000004
2015-01-28,1626.1640000000002,441.697,16.581,458.278
2015-01-29,1620.04,401.554,27.784000000000002,429.3380000000001
2015-01-30,1587.346,125.17899999999999,13.462,138.641
2015-01-31,1360.551,133.954,20.213,154.167
2015-02-01,1273.828,121.819,24.68,146.499
2015-02-02,1608.68,197.40499999999997,20.267999999999997,217.673
2015-02-03,1639.2599999999998,97.155,27.529999999999998,124.68499999999999
2015-02-04,1651.314,40.21799999999999,31.95,72.16800000000002
2015-02-05,1647.357,127.51899999999998,29.04,156.55899999999997
2015-02-06,1620.5069999999998,168.54800000000003,46.344,214.89200000000002
2015-02-07,1408.553,284.22599999999994,55.924,340.15000000000003
2015-02-08,1296.8550000000002,405.421,52.428999999999995,457.84999999999997
2015-02-09,1618.6070000000002,382.505,15.048999999999998,397.554
2015-02-10,1626.8640000000003,145.80300000000003,24.129,169.93200000000002
2015-02-11,1623.0859999999998,26.156,28.011,54.16700000000001
2015-02-12,1619.396,24.474999999999998,40.589,65.06400000000001
2015-02-13,1583.1730000000002,96.107,64.53199999999998,160.639
2015-02-14,1359.135,117.22899999999998,67.187,184.41600000000003
2015-02-15,1261.1670000000001,202.85199999999998,60.94200000000001,263.79400000000004
2015-02-16,1536.78,204.535,60.863,265.398
2015-02-17,1600.0189999999996,64.95100000000001,40.309999999999995,105.26100000000001
2015-02-18,1611.379,134.26100000000002,40.082,174.34300000000002
2015-02-19,1607.7410000000002,243.06099999999998,62.938,305.999
2015-02-20,1571.0169999999998,332.2839999999999,79.74499999999999,412.02899999999994
2015-02-21,1345.9130000000002,270.833,49.617,320.45000000000005
